Item id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Sales Total,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
493,34,12/4/19 18:10,12/4/19 13:33,5E+17,Omar Casas,903,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Honey Citrus Wings,,Dinner Menu,Dinner,Food,14,7,7,1,,0.62,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
494,34,12/4/19 18:10,12/4/19 13:33,5E+17,Omar Casas,903,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
495,34,12/4/19 18:10,12/4/19 13:33,5E+17,Omar Casas,903,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Villa Pillo Tuscan,,Wine,Beverages,Wine,11.02,11.02,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
496,52,12/4/19 18:23,12/4/19 18:22,5E+17,Omar Casas,3,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Ginger Cooler,Favorites,Cocktails,Beverages,Liquor,7.35,0,7.35,1,,0.65,FALSE,FALSE,FALSE,Tax Included,No Effect,
497,52,12/4/19 18:23,12/4/19 18:22,5E+17,Omar Casas,3,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Bourbon - Old Forester,,Rail,Beverages,Liquor,11.94,0,11.94,1,,1.06,FALSE,FALSE,FALSE,Tax Included,No Effect,
498,52,12/4/19 18:23,12/4/19 18:22,5E+17,Omar Casas,3,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Wilted Kale Grain Bowl,,Dinner Menu,Dinner,Food,15,0,15,1,,1.33,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
499,52,12/4/19 18:23,12/4/19 18:22,5E+17,Omar Casas,3,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Black Bean Burger,,Dinner Menu,Dinner,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
500,53,12/4/19 18:55,12/4/19 18:54,5E+17,Omar Casas,108,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Black Bean Burger,,Dinner Menu,Dinner,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
501,34,12/4/19 19:00,12/4/19 13:33,5E+17,Omar Casas,903,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Dark Rum - El Dorado 5yr,,Rail,Beverages,Liquor,8.27,8.27,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
502,54,12/4/19 19:07,12/4/19 19:06,5E+17,Omar Casas,105,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Fried Chicken Sandwich,,Dinner Menu,Dinner,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
503,54,12/4/19 19:07,12/4/19 19:06,5E+17,Omar Casas,105,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
504,55,12/4/19 19:09,12/4/19 19:09,5E+17,Omar Casas,903,Dining Room,Dinner,Take Out,5E+17,5E+17,5E+17,,,Smash Burger,,Dinner Menu,Dinner,Food,16,16,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
505,56,12/4/19 19:20,12/4/19 19:20,5E+17,Omar Casas,5,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Vodka - Aloo,,Rail,Beverages,Liquor,9.19,0,9.19,1,,0.81,FALSE,FALSE,FALSE,Tax Included,No Effect,
506,56,12/4/19 19:20,12/4/19 19:20,5E+17,Omar Casas,5,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Free Spirit,Fall 2019,Cocktails,Beverages,Liquor,11.94,0,11.94,1,,1.06,FALSE,FALSE,FALSE,Tax Included,No Effect,
507,57,12/4/19 19:20,12/4/19 19:20,5E+17,Omar Casas,4,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Fried Chicken Sandwich,,Dinner Menu,Dinner,Food,13,13,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
